Sample,FFT_#,q#,Vol_wt
CMP,12,9,67177.83443
CMP,7,5,100668.038
CMP,11,5,149714.2819
CMP,11,7,92137.27246
CMP,8,6,76233.41935
CMP,12,8,98805.6477
CMP,9,9,15762.96975
CMP,11,9,176366.7379
CMP,9,11,61340.9612
CMP,8,5,96908.72022
CMP,7,6,58343.39847
CMP,9,5,88906.5998
CMP,9,5,144072.6387
CMP,9,5,80450.49176
CMP,7,6,41938.27445
CMP,9,5,119718.6069
CMP,8,5,98187.38536
CMP,10,6,103687.6694
CMP,9,6,113068.5201
CMP,7,6,75284.67053
CMP,9,5,97039.38185
CMP,8,6,61803.44037
CMP,7,5,163631.4685
CMP,10,7,107850.0332
CMP,11,7,95497.87837
CMP,9,7,40544.99762
CMP,9,6,95367.91261
CMP,11,5,97886.44751
CMP,11,6,97077.84725
CMP,8,7,63638.42132
CMP,8,7,99153.96663
CMP,10,8,23725.69319
CMP,7,6,106586.0937
CMP,8,4,115480.2652
CMP,8,4,67900.17672
CMP,10,6,86128.08332
CMP,12,9,63244.65365
CMP,9,5,39543.12582
CMP,7,8,77043.67884
CMP,8,8,79196.82802
CMP,8,6,159620.9024
CMP,8,3,133598.1225
CMP,9,5,151485.8803
CMP,11,5,95001.16039
CMP,9,6,83503.40708
CMP,8,6,51134.44497
CMP,8,5,78314.62192
CMP,12,4,140290.9713
CMP,8,5,72044.03044
CMP,9,6,67559.11799
CMP,9,5,59927.55833
CMP,10,7,56574.20864
CMP,9,5,162196.573
CMP,9,7,73925.07877
CMP,7,7,162132.7705
CMP,6,5,34100.86025
CMP,11,7,120916.4628
CMP,10,8,120312.8911
CMP,14,6,170794.2264
CMP,9,5,76283.09817
CMP,8,8,80248.28465
CMP,8,4,48091.07199
CMP,8,5,890.1514457
CMP,8,5,39161.79589
CMP,10,5,89646.99451
CMP,9,5,113376.2014
CMP,9,7,132462.0899
CMP,10,9,61856.4078
CMP,10,8,60945.38882
CMP,12,9,253057.0676
CMP,7,6,184250.6505
CMP,11,7,70842.84174
CMP,10,7,114975.3777
CMP,8,10,12719.48691
CMP,9,6,110641.7557
CMP,8,6,112123.2078
CMP,7,5,117999.1069
CMP,8,4,85014.63417
CMP,8,7,119685.6363
CMP,11,4,86816.2005
CMP,8,6,111204.5641
CMP,11,6,227430.7794
CMP,9,7,180284.8385
CMP,8,6,89564.63485
CMP,9,9,35449.88861
CMP,10,7,38980.08655
CMP,6,6,668.7295602
CMP,10,8,104096.6601
CMP,11,6,74607.34688
CMP,12,6,87038.59932
CMP,10,6,112890.5697
CMP,9,7,1412.509923
CMP,10,8,121794.5583
CMP,6,5,72846.23689
CMP,9,6,121777.9779
CMP,7,5,86816.2005
CMP,13,6,64233.90224
CMP,7,6,55600.58089
CMP,6,5,1440.766909
CMP,8,8,11652.98876
CMP,10,7,62931.57501
CMP,10,5,44054.39956
CMP,12,6,87357.67714
CMP,9,5,145021.0763
CMP,8,7,111357.5205
CMP,11,6,80479.37383
CMP,11,7,187612.4156
CMP,6,5,36966.65379
CMP,9,5,79247.14226
CMP,8,6,123282.3331
CMP,10,6,71751.75064
CMP,8,6,93189.78258
CMP,9,6,104199.0622
CMP,8,12,235061.9982
CMP,9,4,164437.5549
CMP,8,5,121628.7137
CMP,9,6,59999.59688
CMP,8,11,532362.7222
CMP,9,6,71210.0949
CMP,9,7,68111.8984
CMP,9,6,61836.53583
CMP,10,5,134445.8886
CMP,9,6,65214.79095
CMP,6,6,120436.799
CMP,9,4,72923.1171
CMP,7,5,105461.4696
CMP,12,5,73882.96669
CMP,8,6,81326.12383
CMP,9,5,36460.58724
CMP,8,5,132547.356
CMP,8,6,139266.2032
CMP,9,6,722.0942242
CMP,12,13,286489.8568
CMP,10,5,71362.72307
CMP,9,5,70186.08096
CMP,7,5,1027.04244
CMP,6,6,486.5099257
CMP,7,6,81659.87121
CMP,8,5,109655.1677
CMP,8,8,3825.152231
CMP,10,5,115374.2923
CMP,9,6,123340.6431
